"to","from","points"
"AUS","MDA",0
"NOR","MDA",0
"NLD","MDA",0
"FRA","MDA",5
"HRV","MDA",0
"AZE","MDA",10
"GBR","MDA",0
"AUT","MDA",0
"BLR","MDA",1
"ARM","MDA",0
"GRC","MDA",7
"DNK","MDA",0
"CYP","MDA",0
"POL","MDA",0
"ISR","MDA",0
"UKR","MDA",0
"DEU","MDA",0
"ESP","MDA",0
"PRT","MNE",8
"BGR","MNE",6
"MDA","MNE",3
"BEL","MNE",4
"SWE","MNE",0
"ITA","MNE",10
"ROU","MNE",0
"HUN","MNE",7
"AUS","MNE",0
"NOR","MNE",0
"NLD","MNE",0
"FRA","MNE",2
"HRV","MNE",12
"AZE","MNE",5
"GBR","MNE",0
"AUT","MNE",0
"BLR","MNE",0
"ARM","MNE",0
"GRC","MNE",0
"DNK","MNE",0
"CYP","MNE",1
"POL","MNE",0
"ISR","MNE",0
"UKR","MNE",0
"DEU","MNE",0
"ESP","MNE",0
"PRT","NLD",12
"BGR","NLD",8
"MDA","NLD",5
"BEL","NLD",10
"SWE","NLD",4
"ITA","NLD",2
"ROU","NLD",7
"HUN","NLD",6
"AUS","NLD",0
"NOR","NLD",0
"NLD","NLD",0
"FRA","NLD",0
"HRV","NLD",3
"AZE","NLD",0
"GBR","NLD",0
"AUT","NLD",0
"BLR","NLD",0
"ARM","NLD",0
"GRC","NLD",0
"DNK","NLD",0
"CYP","NLD",0
"POL","NLD",1
"ISR","NLD",0
"UKR","NLD",0
"DEU","NLD",0
"ESP","NLD",0
"PRT","NOR",12
"BGR","NOR",8
"MDA","NOR",6
"BEL","NOR",7
"SWE","NOR",5
"ITA","NOR",2
"ROU","NOR",10
"HUN","NOR",4
"AUS","NOR",0
"NOR","NOR",0
"NLD","NOR",0
"FRA","NOR",0
"HRV","NOR",1
"AZE","NOR",0
"GBR","NOR",0
"AUT","NOR",0
"BLR","NOR",0
"ARM","NOR",0
"GRC","NOR",0
"DNK","NOR",0
"CYP","NOR",0
"POL","NOR",3
"ISR","NOR",0
"UKR","NOR",0
"DEU","NOR",0
"ESP","NOR",0
"PRT","POL",10
"BGR","POL",8
"MDA","POL",6
"BEL","POL",12
"SWE","POL",3
"ITA","POL",0
"ROU","POL",7
"HUN","POL",5
"AUS","POL",0
"NOR","POL",0
"NLD","POL",0
"FRA","POL",0
"HRV","POL",1
"AZE","POL",0
"GBR","POL",0
"AUT","POL",0
"BLR","POL",4
"ARM","POL",0
"GRC","POL",0
"DNK","POL",0
"CYP","POL",0
"POL","POL",0
"ISR","POL",0
"UKR","POL",2
"DEU","POL",0
"ESP","POL",0
"PRT","PRT",0
"BGR","PRT",8
"MDA","PRT",12
"BEL","PRT",10
"SWE","PRT",1
"ITA","PRT",4
"ROU","PRT",7
"HUN","PRT",2
"AUS","PRT",0
"NOR","PRT",0
"NLD","PRT",0
"FRA","PRT",6
"HRV","PRT",0
"AZE","PRT",0
"GBR","PRT",0
"AUT","PRT",0
"BLR","PRT",0
"ARM","PRT",0
"GRC","PRT",0
"DNK","PRT",0
"CYP","PRT",0
"POL","PRT",0
"ISR","PRT",0
"UKR","PRT",3
"DEU","PRT",0
"ESP","PRT",5
"PRT","ROU",7
"BGR","ROU",8
"MDA","ROU",12
"BEL","ROU",5
"SWE","ROU",2
"ITA","ROU",6
"ROU","ROU",0
"HUN","ROU",10
"AUS","ROU",0
"NOR","ROU",0
"NLD","ROU",0
"FRA","ROU",4
"HRV","ROU",3
"AZE","ROU",0
"GBR","ROU",0
"AUT","ROU",0
"BLR","ROU",0
"ARM","ROU",0
"GRC","ROU",1
"DNK","ROU",0
"CYP","ROU",0
"POL","ROU",0
"ISR","ROU",0
"UKR","ROU",0
"DEU","ROU",0
"ESP","ROU",0
"PRT","SMR",7
"BGR","SMR",12
"MDA","SMR",8
"BEL","SMR",5
"SWE","SMR",2
"ITA","SMR",10
"ROU","SMR",6
"HUN","SMR",4
"AUS","SMR",0
"NOR","SMR",0
"NLD","SMR",0
"FRA","SMR",0
"HRV","SMR",3
"AZE","SMR",1
"GBR","SMR",0
"AUT","SMR",0
"BLR","SMR",0
"ARM","SMR",0
"GRC","SMR",0
"DNK","SMR",0
"CYP","SMR",0
"POL","SMR",0
"ISR","SMR",0
"UKR","SMR",0
"DEU","SMR",0
"ESP","SMR",0
"PRT","SRB",8
"BGR","SRB",10
"MDA","SRB",7
"BEL","SRB",3
"SWE","SRB",1
"ITA","SRB",6
"ROU","SRB",4
"HUN","SRB",12
"AUS","SRB",0
"NOR","SRB",0
"NLD","SRB",0
"FRA","SRB",2
"HRV","SRB",5
"AZE","SRB",0
"GBR","SRB",0
"AUT","SRB",0
"BLR","SRB",0
"ARM","SRB",0
"GRC","SRB",0
"DNK","SRB",0
"CYP","SRB",0
"POL","SRB",0
"ISR","SRB",0
"UKR","SRB",0
"DEU","SRB",0
"ESP","SRB",0
"PRT","SVN",8
"BGR","SVN",7
"MDA","SVN",3
"BEL","SVN",6
"SWE","SVN",1
"ITA","SVN",10
"ROU","SVN",2
"HUN","SVN",5
"AUS","SVN",0
"NOR","SVN",0
"NLD","SVN",0
"FRA","SVN",0
"HRV","SVN",12
"AZE","SVN",4
"GBR","SVN",0
"AUT","SVN",0
"BLR","SVN",0
"ARM","SVN",0
"GRC","SVN",0
"DNK","SVN",0
"CYP","SVN",0
"POL","SVN",0
"ISR","SVN",0
"UKR","SVN",0
"DEU","SVN",0
"ESP","SVN",0
"PRT","ESP",12
"BGR","ESP",10
"MDA","ESP",6
"BEL","ESP",4
"SWE","ESP",5
"ITA","ESP",8
"ROU","ESP",7
"HUN","ESP",0
"AUS","ESP",0
"NOR","ESP",0
"NLD","ESP",2
"FRA","ESP",3
"HRV","ESP",0
"AZE","ESP",0
"GBR","ESP",1
"AUT","ESP",0
"BLR","ESP",0
"ARM","ESP",0
"GRC","ESP",0
"DNK","ESP",0
"CYP","ESP",0
"POL","ESP",0
"ISR","ESP",0
"UKR","ESP",0
"DEU","ESP",0
"ESP","ESP",0
"PRT","SWE",10
"BGR","SWE",7
"MDA","SWE",8
"BEL","SWE",12
"SWE","SWE",0
"ITA","SWE",1
"ROU","SWE",3
"HUN","SWE",4
"AUS","SWE",0
"NOR","SWE",6
"NLD","SWE",0
"FRA","SWE",0
"HRV","SWE",2
"AZE","SWE",0
"GBR","SWE",0
"AUT","SWE",0
"BLR","SWE",0
"ARM","SWE",0
"GRC","SWE",0
"DNK","SWE",0
"CYP","SWE",0
"POL","SWE",5
"ISR","SWE",0
"UKR","SWE",0
"DEU","SWE",0
"ESP","SWE",0
"PRT","CHE",12
"BGR","CHE",6
"MDA","CHE",0
"BEL","CHE",7
"SWE","CHE",1
